data_rate_Sa,f_avg,delta1,log10_nmse
1000,18.7500,2.0000,-0.273303
1000,50.0000,7.0000,-1.560177
1000,50.0000,4.0000,-1.248398
1000,46.8750,1.6667,-0.816677
1000,21.8750,-0.3333,-3.348632
1000,35.4167,3.3333,-0.804131
1000,13.5417,-7.3333,-1.747297
1000,33.3333,-4.3333,-3.347183
1000,14.5833,3.0000,-0.130387
1000,38.5417,-1.6667,-3.361148
1000,14.5833,4.0000,-1.229874
1000,17.7083,2.6667,-0.844174
1000,48.9583,7.6667,-1.998581
1000,3.1250,1.3333,-1.952192
1000,19.7917,1.3333,-0.343668
1000,10.4167,7.6667,-1.747221
1000,36.4583,-1.0000,-3.343752
1000,12.5000,7.3333,-1.747278
1000,25.0000,-1.6667,-3.344676
1000,11.4583,-7.0000,-1.747292
1000,38.5417,6.3333,-1.109743
1000,36.4583,-6.3333,-3.355477
1000,32.2917,1.0000,-0.653229
1000,1.0417,1.6667,-0.871048
1000,40.6250,8.0000,-0.925749
1000,15.6250,0.0000,-3.342231
1000,2.0833,6.3333,-1.747287
1000,40.6250,0.6667,-0.906835
1000,46.8750,6.6667,-1.048286
1000,5.2083,7.0000,-1.747468
1000,33.3333,-5.0000,-3.364091
1000,31.2500,1.0000,-0.696361
1000,19.7917,-3.0000,-3.359960
1000,33.3333,3.0000,-0.567404
1000,47.9167,1.3333,-0.897593
1000,14.5833,0.0000,-3.372661
1000,48.9583,-1.0000,-3.364462
1000,0.0000,-3.0000,0.014184
1000,30.2083,0.6667,-0.722346
1000,2.0833,7.6667,-1.747381
1000,21.8750,4.6667,-1.632720
1000,39.5833,-7.0000,-3.348838
1000,14.5833,-6.3333,-1.747497
1000,33.3333,-6.0000,-3.355249
1000,16.6667,7.0000,-1.366936
1000,10.4167,-4.3333,-1.747330
1000,46.8750,-7.0000,-3.347475
1000,11.4583,-5.3333,-1.747445
1000,44.7917,-1.3333,-3.350187
1000,13.5417,7.3333,-1.747297
1000,6.2500,1.3333,-1.504804
1000,37.5000,-2.3333,-3.368847
1000,19.7917,-2.0000,-3.349613
1000,16.6667,-5.3333,-1.747533
1000,40.6250,1.0000,-0.814656
1000,42.7083,0.0000,-2.593554
1000,47.9167,-3.0000,-3.357805
1000,50.0000,-4.3333,-3.346251
1000,36.4583,6.3333,-1.109552
1000,11.4583,6.0000,-1.747293
1000,19.7917,3.6667,-1.027110
1000,32.2917,6.3333,-1.458304
1000,40.6250,-1.3333,-3.355242
1000,50.0000,7.3333,-1.799909
1000,0.0000,-4.3333,0.002142
1000,44.7917,-1.0000,-3.357468
1000,14.5833,5.0000,-1.110996
1000,38.5417,-6.3333,-3.335652
1000,48.9583,4.0000,-1.242168
1000,39.5833,-2.6667,-3.350492
1000,34.3750,-8.0000,-1.747502
1000,2.0833,3.3333,-1.747267
1000,43.7500,2.3333,-0.888068
1000,33.3333,-3.3333,-3.355877
1000,27.0833,-2.0000,-3.355413
1000,9.3750,7.6667,-1.747388
1000,21.8750,-2.0000,-3.340428
1000,11.4583,-6.3333,-1.747606
