gamma21,f_avg,delta1,log10_nmse
10,44.8980,2.2564,-0.426471
100,2.0408,7.1795,-1.606182
0.1,23.4694,-6.3590,-1.766494
100,42.8571,1.4359,-2.371626
10,36.7347,-2.2564,-3.351503
0.1,18.3673,1.4359,-0.452956
10,44.8980,7.5897,-2.031143
10,5.1020,3.4872,-1.769358
10,48.9796,-5.5385,-1.662181
100,6.1224,0.2051,-2.378583
0.1,3.0612,-3.8974,-1.767027
0.01,32.6531,-2.6667,-2.471518
0.1,41.8367,-1.4359,-3.113960
100,13.2653,-0.2051,-2.521648
0.1,8.1633,0.2051,-0.666921
0.01,38.7755,6.3590,-2.512637
0.1,26.5306,2.6667,-1.205768
10,19.3878,5.5385,-1.753709
0.1,5.1020,-7.1795,-1.771670
10,6.1224,-4.3077,-1.751330
100,16.3265,-2.6667,-2.456517
100,16.3265,5.5385,-2.562747
1,39.7959,1.4359,-0.483470
10,44.8980,-3.4872,-1.058254
0.1,20.4082,-4.7179,-3.247492
0.01,11.2245,-5.9487,-1.766427
0.1,28.5714,-6.3590,-3.364435
0.01,9.1837,7.5897,-1.760362
1,10.2041,-2.6667,-1.765627
10,8.1633,-2.6667,-1.765627
0.1,9.1837,2.2564,-1.837080
100,26.5306,3.8974,-2.157717
10,31.6327,5.9487,-1.771293
0.1,2.0408,7.1795,-1.771673
100,17.3469,4.7179,-2.529421
0.01,47.9592,6.3590,-2.897363
10,42.8571,-7.5897,-1.765511
0.01,0.0000,-5.1282,0.000037
1,42.8571,7.1795,-1.838604
1,11.2245,3.4872,-1.717479
10,50.0000,5.9487,-1.728871
0.1,20.4082,-5.1282,-1.767069
1,23.4694,-0.2051,-3.292479
1,34.6939,6.3590,-1.418955
10,8.1633,-0.2051,-0.805143
10,19.3878,0.2051,-3.378968
0.01,29.5918,-0.6154,-3.364432
10,38.7755,-1.0256,-3.291584
1,2.0408,2.2564,-1.765771
10,32.6531,-4.7179,-1.770649
0.1,41.8367,0.6154,-0.103023
1,30.6122,-1.4359,-2.272102
0.01,15.3061,1.4359,0.336324
10,19.3878,-5.5385,-1.753709
0.1,27.5510,-3.0769,-2.618826
0.1,44.8980,-2.2564,-3.314349
1,46.9388,6.3590,-1.461631
0.1,45.9184,7.1795,-2.693376
10,26.5306,-0.2051,-3.361546
0.1,28.5714,-6.7692,-1.756211
10,25.5102,0.2051,-3.083179
0.1,10.2041,2.2564,-1.127370
100,38.7755,7.5897,-1.765512
10,35.7143,-3.0769,-1.195454
1,41.8367,-4.3077,-2.602426
0.01,20.4082,-4.7179,-3.280122
100,27.5510,-5.1282,-2.562520
1,34.6939,4.3077,-2.114574
100,3.0612,7.5897,-1.765514
10,5.1020,4.3077,-1.751330
1,42.8571,5.9487,-2.406704
100,5.1020,2.2564,-2.622034
1,16.3265,5.1282,-1.799565
1,8.1633,8.0000,-1.758647
10,10.2041,-6.3590,-1.766494
0.01,4.0816,-7.5897,-1.762755
100,40.8163,7.5897,-1.765512
10,27.5510,-6.7692,-1.756211
100,0.0000,-6.3590,1.805666
10,2.0408,-1.4359,-1.759344
0.01,46.9388,2.6667,-0.803846
1,11.2245,-5.5385,-1.753716
0.01,31.6327,-6.3590,-3.222614
1,40.8163,-7.1795,-3.342078
100,25.5102,-2.6667,-2.182010
1,29.5918,1.4359,-0.569847
100,19.3878,7.5897,-1.765514
0.1,48.9796,7.1795,-2.079399
0.1,1.0204,-1.4359,-2.919525
100,3.0612,-1.8462,-2.683065
0.01,2.0408,-3.8974,0.159114
1,50.0000,1.8462,-0.499006
0.1,15.3061,6.3590,-1.440695
0.01,45.9184,-4.3077,-3.300595
100,24.4898,-1.8462,-2.486642
0.1,37.7551,-1.0256,-3.288409
0.01,24.4898,-0.6154,-3.127474
10,48.9796,-3.8974,0.071301
0.1,39.7959,2.6667,-0.915202
0.01,15.3061,2.6667,-2.294473
0.01,29.5918,2.2564,-1.799918
100,23.4694,3.4872,-2.024617
1,10.2041,1.4359,-0.949048
10,45.9184,4.7179,-1.392482
10,15.3061,-3.4872,-1.769359
10,7.1429,-0.6154,-0.987401
0.01,40.8163,-7.1795,-3.051344
0.01,42.8571,-6.3590,-2.577926
0.01,19.3878,-7.1795,-1.762971
1,38.7755,8.0000,-0.213982
0.01,3.0612,-0.6154,-1.636927
