gamma21,f_avg,delta1,log10_nmse
1.4,21.0204,7.5897,-1.983850
0.2,17.7551,-6.7692,-1.769606
0.2,16.9388,1.8462,0.013757
1.0,20.6122,-5.1282,-1.780473
1.0,19.3878,1.4359,0.215169
1.4,16.5306,5.1282,-1.452414
1.0,11.6327,-1.4359,-3.357137
1.0,12.8571,-7.5897,-1.778969
0.2,12.4490,4.3077,-2.294453
1.8,27.9592,-4.7179,-3.370160
1.0,15.7143,4.7179,-1.673126
0.2,23.4694,6.3590,-0.553214
2.2,12.4490,-3.0769,-1.762535
1.4,21.0204,7.1795,-2.201609
1.4,22.6531,3.0769,-0.650486
0.2,12.8571,3.8974,-1.906985
0.2,18.5714,-5.1282,-1.780472
1.4,26.3265,-0.6154,-2.965125
1.0,24.6939,3.4872,-0.824751
0.2,27.5510,0.2051,-0.489556
0.6,12.0408,7.1795,-1.784744
1.0,16.1224,6.7692,-1.769608
1.8,21.0204,1.8462,0.066880
1.8,22.2449,0.2051,-2.337822
1.0,19.7959,-7.1795,-1.784744
2.2,24.2857,5.9487,-0.294908
1.8,21.0204,-3.8974,-3.368906
0.6,17.7551,2.2564,-0.385294
1.4,13.2653,1.0256,-0.926253
1.0,12.0408,6.3590,-1.779922
1.0,21.4286,1.4359,-0.155065
0.2,23.8776,-1.0256,-2.809700
0.2,16.1224,6.3590,-1.789116
0.2,19.3878,8.0000,-1.367386
2.2,18.1633,3.8974,-1.805828
0.2,24.6939,0.2051,-0.405312
2.2,10.0000,-3.0769,-1.762535
1.4,14.8980,1.8462,0.782498
0.2,18.5714,3.0769,-1.665772
2.2,30.0000,-4.3077,-3.368193
1.8,18.1633,0.2051,-2.710606
1.8,22.6531,-7.1795,-1.784743
0.6,18.1633,2.2564,-0.392519
2.2,28.3673,-3.4872,-3.368207
1.4,21.4286,2.2564,-0.520445
2.2,26.7347,-1.0256,-3.341735
1.8,14.8980,-4.7179,-1.783809
0.2,30.0000,-4.3077,-2.841629
1.8,18.5714,-3.0769,-3.360817
0.2,26.3265,-5.9487,-2.130989
1.8,25.1020,3.8974,-0.784573
1.4,13.6735,-1.8462,-3.285226
2.2,25.5102,1.0256,-0.170020
0.2,12.8571,-3.0769,-2.357035
1.4,15.7143,-7.1795,-1.784743
1.0,13.2653,-1.4359,-3.333950
1.4,13.2653,2.6667,-1.852543
1.8,13.2653,-3.8974,-1.780419
0.6,24.6939,5.9487,-1.344825
1.8,10.8163,5.1282,-1.780471
0.6,16.9388,7.5897,-2.362831
0.2,25.1020,4.3077,-1.567934
0.2,18.5714,1.8462,-0.235461
1.0,12.4490,-3.8974,-1.780419
0.2,25.1020,-4.3077,-3.396660
1.8,18.1633,-4.7179,-1.783809
0.2,26.3265,4.3077,-1.825746
1.4,23.4694,-5.1282,-3.312388
2.2,12.4490,-4.7179,-1.783809
0.2,24.6939,0.6154,0.040197
1.4,23.8776,1.8462,-0.417533
1.8,23.0612,-1.0256,-3.359536
0.6,16.5306,-2.2564,-3.387625
2.2,12.0408,-4.7179,-1.783809
1.8,23.0612,3.0769,-1.075332
2.2,12.4490,-5.9487,-1.784401
1.0,29.5918,-5.9487,-3.356980
0.2,19.3878,-5.5385,-1.767045
2.2,21.8367,2.2564,-0.796659
2.2,17.3469,4.7179,-1.531476
2.2,26.7347,4.7179,-1.371007
1.4,10.8163,-4.3077,-1.764598
0.2,15.3061,2.2564,-1.422702
2.2,17.3469,1.0256,-1.036210
1.4,22.2449,7.1795,-1.322687
1.4,19.7959,-6.3590,-1.779921
0.6,24.6939,8.0000,-2.180669
1.0,21.0204,-3.0769,-3.152421
1.0,15.3061,-5.5385,-1.767045
0.6,25.9184,0.2051,-0.429142
2.2,16.9388,-6.3590,-1.779922
0.6,25.9184,4.3077,-2.027372
1.8,10.0000,-3.0769,-1.762535
1.4,24.6939,1.8462,-0.268447
1.0,21.0204,5.5385,-1.767166
2.2,20.2041,-1.8462,-3.351468
0.2,23.4694,8.0000,-1.930406
1.4,25.9184,-2.2564,-3.370098
1.4,27.5510,-0.6154,-3.055339
