F_AVG,DELTA1,DELTA2,DELTA_F,NMSE,log10_NMSE,COMB_QI,COMB_PULSING,COMB_MOD_RATIO
20.0000,-5.6988,-11.8494,1.2552,7.057044e-04,-3.1514,0,0,0.000001
20.0000,-5.6988,-11.8494,1.4644,7.318758e-04,-3.1356,0,0,0.000001
20.0000,-5.6988,-11.8494,1.6736,7.611210e-04,-3.1185,0,0,0.000001
20.0000,-5.6988,-11.8494,1.8828,7.944026e-04,-3.1000,0,0,0.000001
20.0000,-5.6988,-11.8494,2.0920,8.300943e-04,-3.0809,0,0,0.000001
20.0000,-5.6988,-11.8494,2.3012,8.694771e-04,-3.0607,0,0,0.000001
20.0000,-5.6988,-11.8494,2.5104,9.121373e-04,-3.0399,0,0,0.000001
20.0000,-5.6988,-11.8494,2.7196,9.586443e-04,-3.0183,0,0,0.000001
20.0000,-5.6988,-11.8494,2.9288,1.008932e-03,-2.9961,0,0,0.000001
20.0000,-5.6988,-11.8494,3.1380,1.062972e-03,-2.9735,0,0,0.000001
20.0000,-5.6988,-11.8494,3.3472,1.120966e-03,-2.9504,0,0,0.000001
20.0000,-5.6988,-11.8494,3.5564,1.183136e-03,-2.9270,0,0,0.000002
20.0000,-5.6988,-11.8494,3.7656,1.249346e-03,-2.9033,0,0,0.000002
20.0000,-5.6988,-11.8494,3.9748,1.319340e-03,-2.8796,0,0,0.000002
20.0000,-5.6988,-11.8494,4.1840,1.393599e-03,-2.8559,0,0,0.000002
20.0000,-5.6988,-11.8494,4.3932,1.472311e-03,-2.8320,0,0,0.000002
20.0000,-5.6988,-11.8494,4.6024,1.555180e-03,-2.8082,0,0,0.000003
20.0000,-5.6988,-11.8494,4.8116,1.642064e-03,-2.7846,0,0,0.000003
20.0000,-5.6988,-11.8494,5.0208,1.733141e-03,-2.7612,0,0,0.000003
20.0000,-5.4896,-11.7448,0.0000,2.051392e-02,-1.6880,0,0,0.000001
20.0000,-5.4896,-11.7448,0.2092,4.149861e-04,-3.3820,0,0,0.000001
